id,pred1,pred2,EM,F1
mrc-0-000432,조선건국동맹,신한청년당,0.0000,0.0000
mrc-0-000434,다케치요(이에야스)의 양육을 위해,인질이 된 다케치요(이에야스)의 양육을 위해,0.0000,0.7500
mrc-0-000435,젊은이들,젊은이들,1.0000,1.0000
mrc-0-000439,리처드 말킨,어쨌든,0.0000,0.0000
mrc-0-000459,연합군 최고사령부,연합군 최고사령부,1.0000,1.0000
mrc-0-000496,5월 8일,5월 8일,1.0000,1.0000
mrc-0-000499,극단적인 자전축 경사,극단적인 자전축 경사,1.0000,1.0000
mrc-0-000500,2008년,2018년,0.0000,0.0000
mrc-0-000504,삼국시대,통일신라 후기,0.0000,0.0000
mrc-0-000527,《린네학회동물학잡지》,적어도,0.0000,0.0000
mrc-0-000535,롭 포드,롭 포드,1.0000,1.0000
mrc-0-000540,라이네크,오라 소드,0.0000,0.0000
mrc-0-000564,1970년,어린시절부터,0.0000,0.0000
mrc-0-000574,1954년,1954년,1.0000,1.0000
mrc-0-000576,베니토 무솔리니,베니토 무솔리니,1.0000,1.0000
mrc-0-000607,비정상적으로 큰 송곳니,큰 송곳니,0.0000,0.8000
mrc-0-000624,노르웨이,비록,0.0000,0.0000
mrc-0-000651,,1967년,0.0000,0.0000
mrc-0-000664,벤자민 바커,"""라이언 조던""",0.0000,0.0000
mrc-0-000668,시캉브르(Sicambres),시캉브르(Sicambres),1.0000,1.0000
mrc-0-000687,5건,5,0.0000,0.0000
mrc-0-000712,포토맥군,포토맥군,1.0000,1.0000
mrc-0-000723,빛,빛,1.0000,1.0000
mrc-0-000734,언더우드 박사,언더우드 박사,1.0000,1.0000
mrc-0-000740,학습자가 정보 통달에 이를 때까지,반드시,0.0000,0.0000
mrc-0-000755,바위,메티스,0.0000,0.0000
mrc-0-000760,공개 프록시,SPC,0.0000,0.0000
mrc-0-000780,가지 끝,잎겨드랑이,0.0000,0.0000
mrc-0-000784,프랑스,프랑스,1.0000,1.0000
mrc-0-000845,오삼계,오삼계,1.0000,1.0000
mrc-0-000850,문장원,문장원,1.0000,1.0000
mrc-0-000852,가족의 화합,가족의 화합,1.0000,1.0000
mrc-0-000854,1916년,1916년,1.0000,1.0000
mrc-0-000866,1945년,1945년,1.0000,1.0000
mrc-0-000895,줄기군 절지동물,줄기군 절지동물,1.0000,1.0000
mrc-0-000898,이회창,이회창,1.0000,1.0000
mrc-0-000901,코요미,언니,0.0000,0.0000
mrc-0-000913,탈당,탈당,1.0000,1.0000
mrc-0-000942,모터크로스 레이서,모터크로스 레이서,1.0000,1.0000
mrc-0-000944,,최소,0.0000,0.0000
mrc-0-000964,하리수,약간,0.0000,0.0000
mrc-0-000970,고천제,고천제,1.0000,1.0000
mrc-0-000986,사이먼 무라토레,나디아 나딤,0.0000,0.0000
mrc-0-000988,암스트롱 계열,‘20.3cm 45구경포’,0.0000,0.0000
mrc-0-000991,윌리엄 3세,최소,0.0000,0.0000
mrc-0-001021,투사체의 궤적,투사체의 궤적,1.0000,1.0000
mrc-0-001026,86 편의,86 편의,1.0000,1.0000
mrc-0-001030,2003년,1890,0.0000,0.0000
mrc-0-001034,강제집행,실체법상의 개개의 권리,0.0000,0.0000
mrc-0-001046,프랭클린 D. 루스벨트,프랭클린 D. 루스벨트,1.0000,1.0000
mrc-0-001058,카필라 성,투리야(Turiya)의 세계,0.0000,0.0000
mrc-0-001072,새누리당,새누리당,1.0000,1.0000
mrc-0-001076,베다는,골룸바노,0.0000,0.0000
mrc-0-001078,1946년,1946년,1.0000,1.0000
mrc-0-001086,라이프치히,라이프치히,1.0000,1.0000
mrc-0-001105,실존주의 사상,실존주의 사상,1.0000,1.0000
mrc-0-001123,테러 예방,수산업,0.0000,0.0000
mrc-0-001124,노화욱,강우일,0.0000,0.0000
mrc-0-001133,"언카스(또는 다운카스, Uncas)","언카스(또는 다운카스, Uncas)",1.0000,1.0000
mrc-0-001149,제주어,오키나와어,0.0000,0.0000
mrc-0-001179,소프트웨어 엔지니어링,소프트웨어 엔지니어링,1.0000,1.0000
mrc-0-001180,1811년,1795년,0.0000,0.0000
mrc-0-001183,러더퍼드 B. 헤이스,러더퍼드 B. 헤이스,1.0000,1.0000
mrc-0-001192,새정치연합 우윤근 원내대표,니시무라,0.0000,0.0000
mrc-0-001206,2007년,2004년,0.0000,0.0000
mrc-0-001220,1점,4점,0.0000,0.0000
mrc-0-001235,미치류의 화석이 전세계에 걸쳐 발견된다는 것,암흑류 연구팀,0.0000,0.0000
mrc-0-001241,상업 분야,환율 부문,0.0000,0.0000
mrc-0-001251,,공화당원 투표인들 만을 화나,0.0000,0.0000
mrc-0-001272,강물,포항교도소,0.0000,0.0000
mrc-0-001281,사법부,사법부,1.0000,1.0000
mrc-0-001283,1630년대부터 1640년대,1732년(교호 17년),0.0000,0.0000
mrc-0-001324,부산시,부산시,1.0000,1.0000
mrc-0-001326,문예지,《참된 조국의 상:세계문명동원론》이나 정훈잡지 《자유》,0.0000,0.0000
mrc-0-001335,노예를 해방,노예를 해방,1.0000,1.0000
mrc-0-001346,호해,호해,1.0000,1.0000
mrc-0-001363,찰스 2세,찰스 2세,1.0000,1.0000
mrc-0-001366,신성 로마 제국,신성 로마 제국,1.0000,1.0000
mrc-0-001370,M2G,특수목적회사 M2G,0.0000,0.6667
mrc-0-001374,1309년,1530년,0.0000,0.0000
mrc-0-001379,헤르타 베를린,토고 국가대표팀,0.0000,0.0000
mrc-0-001382,로마,그리스,0.0000,0.0000
mrc-0-001384,건축학과,음악대학,0.0000,0.0000
mrc-0-001393,마이클 뉴먼,마이클 뉴먼,1.0000,1.0000
mrc-0-001415,상서좌복야(尙書左僕射),노룡군의 대장,0.0000,0.0000
mrc-0-001425,중심지 이동설,중심지 이동설,1.0000,1.0000
mrc-0-001429,제노바 공화국,오스만 제국,0.0000,0.0000
mrc-0-001432,1887년,1887년,1.0000,1.0000
mrc-0-001438,금강산 보광암,동고사(東固寺),0.0000,0.0000
mrc-0-001445,1958년,1960년 초반,0.0000,0.0000
mrc-0-001457,세르비아 왕국,일본,0.0000,0.0000
mrc-0-001470,틀렘센,스페인 항구 도시 카르타헤나,0.0000,0.0000
mrc-0-001487,85번,85번,1.0000,1.0000
mrc-0-001539,목포,목포,1.0000,1.0000
mrc-0-001557,아테네,아테네,1.0000,1.0000
mrc-0-001574,피오렐로 라과디아와 좌익의 비토 마캔토니오,피오렐로 라과디아,0.0000,0.2857
mrc-0-001606,석조 궁륭으로 올리는 것이었다. 천장을 석조 교차궁륭,그로인 볼트,0.0000,0.0000
mrc-0-001607,사구,스렝,0.0000,0.0000
mrc-0-001614,조선 후기,조선 후기,1.0000,1.0000
mrc-0-001654,붉은 구슬,붉은 구슬,1.0000,1.0000
mrc-0-001659,,학교폭력,0.0000,0.0000
mrc-0-001660,3미터,필수,0.0000,0.0000
mrc-0-001668,어머니,어머니,1.0000,1.0000
mrc-0-001682,징역 6년,무죄 판결,0.0000,0.0000
mrc-0-001689,1671년,1671년,1.0000,1.0000
mrc-0-001699,SI 단위계,SI 단위계,1.0000,1.0000
mrc-0-001705,슈베르트,슈베르트,1.0000,1.0000
mrc-0-001725,스털링 실리펀트,스털링 실리펀트,1.0000,1.0000
mrc-0-001728,"약 12,000명","12,000명",0.0000,0.6667
mrc-0-001757,Jazzy Ivy,《Pacific》,0.0000,0.0000
mrc-0-001778,1181년,5년,0.0000,0.0000
mrc-0-001783,나부의 의원 자자 빙크스,자자 빙크스,0.0000,0.6667
mrc-0-001790,스카버러 타운 센터,스카버러 타운 센터,1.0000,1.0000
mrc-0-001793,플라티니,플라티니,1.0000,1.0000
mrc-0-001804,,자유당계 인사들,0.0000,0.0000
mrc-0-001838,1916년,1916년,1.0000,1.0000
mrc-0-001844,키릴 문자,고트 문자,0.0000,0.5000
mrc-0-001845,외국인,종종,0.0000,0.0000
mrc-0-001847,호해,호해,1.0000,1.0000
mrc-0-001863,베다의 권위를 인정하는 가의 여부,《비슈누 푸라나()》와 《바가바타 푸라나()》,0.0000,0.0000
mrc-0-001864,보리스 타디치,보리스 타디치,1.0000,1.0000
mrc-0-001878,입석대(立石臺),입석대(立石臺),1.0000,1.0000
mrc-0-001884,복잡한 2족 보행기구,하반신,0.0000,0.0000
mrc-0-001887,고려시대 전반기,고려시대 전반기,1.0000,1.0000
mrc-0-001891,학업에 집중하기 위해,학업에 집중하기 위해,1.0000,1.0000
mrc-0-001896,스페셜라이즈드의 P 시리즈,스페셜라이즈드의 P 시리즈,1.0000,1.0000
mrc-0-001931,64 군,64 군,1.0000,1.0000
mrc-0-001938,코네티컷 소년원,여전히,0.0000,0.0000
mrc-0-001940,신라 경문왕,신라 경문왕,1.0000,1.0000
mrc-0-001943,디지털 영상,태스크,0.0000,0.0000
mrc-0-001961,강한 바람,때때로,0.0000,0.0000
mrc-0-002008,HA1 도메인의 18번 코돈,코돈,0.0000,0.4000
mrc-0-002028,"리을설(李乙雪, 1921-2015)",리을설,0.0000,0.0000
mrc-0-002033,급진파 파시스트,정치평론,0.0000,0.0000
mrc-0-002045,김우석(金禹錫),송병하,0.0000,0.0000
mrc-0-002046,모겐소,모겐소,1.0000,1.0000
mrc-0-002070,압력,압력,1.0000,1.0000
mrc-0-002074,최대 10일,최대 10일,1.0000,1.0000
mrc-0-002092,「소방공무원법」,「소방공무원법」,1.0000,1.0000
mrc-0-002096,1947년,1916년,0.0000,0.0000
mrc-0-002098,교황 율리오 2세,교황 율리오 2세,1.0000,1.0000
mrc-0-002127,4막 3장이,4막 3장이,1.0000,1.0000
mrc-0-002130,러시아,러시아,1.0000,1.0000
mrc-0-002155,서울,청도,0.0000,0.0000
mrc-0-002164,《완전한 죽음》,<두려운 균형Fearful Symmetry>,0.0000,0.0000
mrc-0-002166,하루,일부러,0.0000,0.0000
mrc-0-002169,다케다 한시(武田範之),다케다 한시,0.0000,0.5000
mrc-0-002170,《소우기》,《소우기》,1.0000,1.0000
mrc-0-002177,시트로엥,시트로엥 자동차 회사,0.0000,0.5000
mrc-0-002188,104번 위치의 글루탐산,글루탐산이 아스파르트산,0.0000,0.0000
mrc-0-002191,대통령인 빌헬름 미클라스,대통령인 빌헬름 미클라스,1.0000,1.0000
mrc-0-002210,통인 주기,박홍근,0.0000,0.0000
mrc-0-002215,제 1대 슈루즈베리 백작 존 탈보트,조지 웨이머스 선장,0.0000,0.0000
mrc-0-002219,위험한 물질,위험한 물질,1.0000,1.0000
mrc-0-002224,군대 내 성소수자 권리 정책,군대 내 성소수자 권리 정책,1.0000,1.0000
mrc-0-002231,≪악령≫,바이스,0.0000,0.0000
mrc-0-002245,레드훅 스튜디오,레드훅 스튜디오,1.0000,1.0000
mrc-0-002265,1935년,1863년,0.0000,0.0000
mrc-0-002282,마리 알렌,히파르코스,0.0000,0.0000
mrc-0-002285,전신 또는 신체의 일부의 체온이 상승,열적작용,0.0000,0.0000
mrc-0-002289,가덕도,전라좌수영 남쪽,0.0000,0.0000
mrc-0-002338,루피,루피,1.0000,1.0000
mrc-0-002361,독립,독립,1.0000,1.0000
mrc-0-002374,무로마치 막부,무로마치 막부,1.0000,1.0000
mrc-0-002389,유교문화,유교문화,1.0000,1.0000
mrc-0-002414,꼬리부분,국부,0.0000,0.0000
mrc-0-002424,자인단오-한장군 놀이,슈퍼 선더버드라는,0.0000,0.0000
mrc-0-002436,오스트리아-헝가리 제국 시대,오스트리아-헝가리 제국 시대,1.0000,1.0000
mrc-0-002445,콘라트 2세,하산 부즈루그,0.0000,0.0000
mrc-0-002453,다이요,요미우리,0.0000,0.0000
mrc-0-002481,세 가지,세 가지,1.0000,1.0000
mrc-0-002482,근원 마그마가 형성되는 기작이 다르기 때문,근원 마그마가 형성되는 기작이 다르기 때문,1.0000,1.0000
mrc-0-002493,미국,미국,1.0000,1.0000
mrc-0-002514,API,API,1.0000,1.0000
mrc-0-002518,1990년대,1990년대,1.0000,1.0000
mrc-0-002525,<<종횡무진 한국경제>>,<한국의 진보를 비판한다>,0.0000,0.0000
mrc-0-002530,안티오코스 3세,안티오코스 3세,1.0000,1.0000
mrc-0-002536,로브코비츠,다니엘 슈타이벨트,0.0000,0.0000
mrc-0-002581,중앙위원회,중앙위원회,1.0000,1.0000
mrc-0-002584,정규 공간,정규 공간,1.0000,1.0000
mrc-0-002601,"네덜란드의 1, 2도시","네덜란드의 1, 2도시",1.0000,1.0000
mrc-0-002605,,수수께끼의 콘드률,0.0000,0.0000
mrc-0-002618,호러스 그랜트 언더우드,이항직,0.0000,0.0000
mrc-0-002636,1977년,1977년,1.0000,1.0000
mrc-0-002651,영국,영국,1.0000,1.0000
mrc-0-002654,본인 사운드클라우드 계정,사운드클라우드 계정,0.0000,0.8000
mrc-0-002676,아루에,아루에,1.0000,1.0000
mrc-0-002683,1726년,1726년,1.0000,1.0000
mrc-0-002685,1876년,1876년,1.0000,1.0000
mrc-0-002696,1949년,1937년,0.0000,0.0000
mrc-0-002709,남자의 시체,남자의 시체,1.0000,1.0000
mrc-0-002716,《지옥에서 보낸 한 철》,《취한 배》,0.0000,0.0000
mrc-0-002720,하후상,하후상,1.0000,1.0000
mrc-0-002723,"""""""건강 증서""""""",건강증서는,0.0000,0.0000
mrc-0-002746,아칸바로,아칸바로,1.0000,1.0000
mrc-0-002747,믈라카 술탄국,믈라카 술탄국,1.0000,1.0000
mrc-0-002758,독일,독일,1.0000,1.0000
mrc-0-002762,경복사(景福寺),경복사(景福寺),1.0000,1.0000
mrc-0-002763,개성,개성,1.0000,1.0000
mrc-0-002764,카에데 소이치로(소리마치 타카시),카에데 소이치로,0.0000,0.4000
mrc-0-002766,1969년,1969년,1.0000,1.0000
mrc-0-002771,보이저 탐사선,비록,0.0000,0.0000
mrc-0-002777,삼흥,'아포크리파(외경)',0.0000,0.0000
mrc-0-002782,임금,유성룡,0.0000,0.0000
mrc-0-002786,외교부 장관직,외교부 장관직,1.0000,1.0000
mrc-0-002788,합작 5원칙,합작 5원칙,1.0000,1.0000
mrc-0-002816,"""""""문학 혁명""""""","""문학 혁명""",1.0000,1.0000
mrc-0-002832,공격력,공격력,1.0000,1.0000
mrc-0-002835,망자,망자,1.0000,1.0000
mrc-0-002840,화이트워터 사건,성범죄,0.0000,0.0000
mrc-0-002848,케빈 베이컨,잭,0.0000,0.0000
mrc-0-002868,1875년,1875년,1.0000,1.0000
mrc-0-002877,,빌트루디스,0.0000,0.0000
mrc-0-002879,이스라엘,이스라엘,1.0000,1.0000
mrc-0-002895,칼라치 전방 약250km 지점,칼라치 전방 약250km 지점,1.0000,1.0000
mrc-0-002916,퀸투스 루타티우스 카툴루스,퀸투스 루타티우스 카툴루스,1.0000,1.0000
mrc-0-002927,12척,12척,1.0000,1.0000
mrc-0-002936,트로이아 전쟁,소비에트 연방,0.0000,0.0000
mrc-0-002938,데이 페소,데이 페소,1.0000,1.0000
mrc-0-002947,르네상스 양식,르네상스 양식,1.0000,1.0000
mrc-0-002967,이라크,이라크,1.0000,1.0000
mrc-0-002975,엘디아 부족,엘디아 부족,1.0000,1.0000
mrc-0-002979,7칸,5칸,0.0000,0.0000
mrc-0-002983,초등학교 교원,초등학교 교원,1.0000,1.0000
mrc-0-002989,,재단 X,0.0000,0.0000
mrc-0-002991,,호시노 청년,0.0000,0.0000
mrc-0-002997,1922년,1917년 2월 10일,0.0000,0.0000
mrc-0-003016,신춘문예공모전,『현대문학』,0.0000,0.0000
mrc-0-003027,리비우스,리비우스,1.0000,1.0000
mrc-0-003031,당나라 태종,태종,0.0000,0.6667
mrc-0-003038,에우리아의 요한,알베리크 2세,0.0000,0.0000
mrc-0-003040,일본,일본,1.0000,1.0000
mrc-0-003043,경시청 수사1과,3과,0.0000,0.0000
mrc-0-003053,조선혁명간부학교,조선혁명간부학교,1.0000,1.0000
mrc-0-003067,리히텐슈타인,영국,0.0000,0.0000
mrc-0-003068,시구르드,시구르드,1.0000,1.0000
mrc-0-003069,블루 라인,블루 라인,1.0000,1.0000
mrc-0-003085,80~90%,80~90%,1.0000,1.0000
mrc-0-003100,히브리 백성이 황금 황소상,히브리 백성이 황금 황소상,1.0000,1.0000
mrc-0-003105,폭동,‘4·19 폭동설’,0.0000,0.0000
mrc-0-003110,난씨,여씨,0.0000,0.0000
mrc-0-003123,세르비아군,세르비아군,1.0000,1.0000
mrc-0-003133,살인 청부업자,브로커,0.0000,0.0000
mrc-0-003155,스카만드로스 강,스카만드로스 강,1.0000,1.0000
mrc-0-003170,1994년,1994년,1.0000,1.0000
mrc-0-003177,"""""""연금""""""","""연금""",1.0000,1.0000
mrc-0-003180,한스 칼 폰 빈터펠트 장군,한스 칼 폰 빈터펠트 장군,1.0000,1.0000
mrc-0-003187,기암절벽,룽록써이 (龍落水),0.0000,0.0000
mrc-0-003205,17세기대로,삼국시대로부터 조선시대,0.0000,0.0000
mrc-0-003215,1773년,1773년,1.0000,1.0000
mrc-0-003223,폴 베나세라프,폴 베나세라프,1.0000,1.0000
mrc-0-003224,91 cm 구경의 굴절망원경,허블 우주망원경,0.0000,0.0000
mrc-0-003227,대구,대구,1.0000,1.0000
mrc-0-003236,베를린,베를린,1.0000,1.0000
mrc-0-003249,노르웨이,노르웨이,1.0000,1.0000
mrc-0-003274,필라델피아,필라델피아,1.0000,1.0000
mrc-0-003298,거스 히딩크,김호,0.0000,0.0000
mrc-0-003315,보안,보안,1.0000,1.0000
mrc-0-003331,200만 달러,200만 달러,1.0000,1.0000
mrc-0-003356,언더우드(Underwood)박사,언더우드(Underwood)박사,1.0000,1.0000
mrc-0-003359,모자,모자,1.0000,1.0000
mrc-0-003364,아우구스투스 시대(기원전 27년 ~ 기원후 14년),아우구스투스 시대,0.0000,0.2857
mrc-0-003365,비공식 굿즈,'비공식 굿즈',1.0000,1.0000
mrc-0-003385,1584년(선조 17년),선조,0.0000,0.0000
mrc-0-003411,,어떤 이유,0.0000,0.0000
mrc-0-003413,스톤페리어,스톤페리어,1.0000,1.0000
mrc-0-003418,의사결정권자들,의사결정권자들,1.0000,1.0000
mrc-0-003425,3차원,3차원 상자,0.0000,0.6667
mrc-0-003434,재산권 박탈,재산권 박탈,1.0000,1.0000
mrc-0-003436,,캉의 남쪽,0.0000,0.0000
mrc-0-003441,라트비아,1988년,0.0000,0.0000
mrc-0-003442,매개념,매개념,1.0000,1.0000
mrc-0-003454,16세기,16세기,1.0000,1.0000
mrc-0-003455,스포츠 신문,《데일리 스포츠 50년사》,0.0000,0.4000
mrc-0-003460,레기온,레기온,1.0000,1.0000
mrc-0-003499,초음파 가습기,기화식 가습기,0.0000,0.5000
mrc-0-003500,급소,인체의 급소,0.0000,0.6667
mrc-0-003501,백병전특화계열,무역,0.0000,0.0000
mrc-0-003503,긴급 구호 건설 법령,긴급 구호 건설 법령,1.0000,1.0000
mrc-0-003509,미국 긴축정책,미국 긴축정책,1.0000,1.0000
mrc-0-003514,인민의용군,인민의용군,1.0000,1.0000
mrc-0-003528,,어사대부,0.0000,0.0000
mrc-0-003540,함정과 인력의 부족,이미,0.0000,0.0000
mrc-0-003544,프랑스,프랑스,1.0000,1.0000
mrc-0-003558,연방 정부,연방 정부,1.0000,1.0000
mrc-0-003596,부당한 일요등교 지시,《아프리칸스어 강제》,0.0000,0.0000
mrc-0-003597,기원전 11년,기원전 11년,1.0000,1.0000
mrc-0-003614,복벽 내,내장 지방,0.0000,0.0000
mrc-0-003617,레온 트로츠키,레온 트로츠키,1.0000,1.0000
mrc-0-003628,원작자,판권관리,0.0000,0.0000
mrc-0-003629,체외수정,폴립,0.0000,0.0000
mrc-0-003639,토레 (torre),'온' (ón),0.0000,0.0000
mrc-0-003644,이탈리아,이탈리아,1.0000,1.0000
mrc-0-003645,<밤으로의 긴 여행>,<밤으로의 긴 여행>,1.0000,1.0000
mrc-0-003648,상대적 손실 가치,상대적 손실 가치,1.0000,1.0000
mrc-0-003669,법무성이,법무성이,1.0000,1.0000
mrc-0-003670,‘마루게’ 할아버지,에드워드 로브 엘리스(Edward Robb Ellis),0.0000,0.0000
mrc-0-003683,국가인권위원회,담임교사,0.0000,0.0000
mrc-0-003706,천공,셔우드 숲,0.0000,0.0000
mrc-0-003711,,석가모니,0.0000,0.0000
mrc-0-003716,오스트리아,오스트리아,1.0000,1.0000
mrc-0-003755,무신들이,정이대장군,0.0000,0.0000
mrc-0-003763,『불상조성권고문』,『불상조성권고문』,1.0000,1.0000
mrc-0-003770,"""""""명련사""""""","""명련사""",1.0000,1.0000
mrc-0-003807,키홀더,드류의 물건,0.0000,0.0000
mrc-0-003821,오스트리아,카르도나,0.0000,0.0000
mrc-0-003835,토스카나,토스카나,1.0000,1.0000
mrc-0-003870,천인대,「칭기즈 칸의 케식(친위대)」,0.0000,0.0000
mrc-0-003896,멀리사 스넬,멀리사 스넬,1.0000,1.0000
mrc-0-003904,1922년,1922년,1.0000,1.0000
mrc-0-003926,윤치호,윤치호 등과 살아남은 조카들이,0.0000,0.4000
mrc-0-003951,뉴질랜드,뉴질랜드,1.0000,1.0000
mrc-0-003953,평균비용,평균비용,1.0000,1.0000
mrc-0-003959,스파르타의 장군 길리포스,길리포스,0.0000,0.5000
mrc-0-003961,마에노 료타쿠,마에노 료타쿠,1.0000,1.0000
mrc-0-003962,뉴질랜드,뉴질랜드,1.0000,1.0000
mrc-0-003970,센리 선,교토 본선과 센리 선,0.0000,0.6667
mrc-0-003996,토우야,아루에,0.0000,0.0000
mrc-0-004007,신시내티대학교,빈 대학교,0.0000,0.0000
mrc-0-004017,"운항부주의, 방수구(放水口) 부족 등",정원 초과,0.0000,0.0000
mrc-0-004040,안티오쿠스,안티오쿠스,1.0000,1.0000
mrc-0-004081,멕시코만류,멕시코-미국 전쟁,0.0000,0.0000
mrc-0-004085,토머스 매케이,꾸준히,0.0000,0.0000
mrc-0-004111,1929년,1924년,0.0000,0.0000
mrc-0-004159,해 (지지)단계,해 (지지)단계,1.0000,1.0000
mrc-0-004182,파시즘,광무사검,0.0000,0.0000
mrc-0-004187,승려,승려,1.0000,1.0000
mrc-0-004196,심장 마비,불치병,0.0000,0.0000
mrc-0-004245,외무대신,내무대신,0.0000,0.0000
mrc-0-004266,영국,영국,1.0000,1.0000
mrc-0-004280,사츠키,사츠키,1.0000,1.0000
mrc-0-004308,"Beetles(딱정벌레)
mrc-1-000841	사돈인 한진창
mrc-1-001669	대밭골
mrc-0-005486	조조
mrc-0-004372	대구
mrc-0-000944	여객 또는 화물
mrc-0-004410	시릴 라마포사 대통령
mrc-0-001659	V-칩
mrc-0-002991	마야
mrc-0-001251	공화당원 투표인들 만을 화나게
mrc-0-003528	어사대부
mrc-0-002877	빌트루디스
mrc-1-000177	제8조
mrc-0-005447	석재
mrc-1-001517	강원도도장관
mrc-0-003711	성철(이영주)
mrc-0-004394	프리드리히 니체
mrc-0-004335	일간 뉴욕타임스
mrc-0-000651	1967년
mrc-0-002989	재단 X
mrc-0-001804	자유당계 인사들
mrc-0-003411	서스펜디드 게임
mrc-0-003436	주노 해변
mrc-0-002605	수수께끼의 콘드률
",356,0.0000,0.0000
mrc-0-004310,일본 가도카와 쇼텐,일본 가도카와 쇼텐,1.0000,1.0000
mrc-0-004318,1943년 7월 2일,1943년 7월 2일,1.0000,1.0000
mrc-0-004323,강력범죄 특별수사관,수석 연구원,0.0000,0.0000
mrc-0-004329,황소,황소,1.0000,1.0000
mrc-0-004335,,뉴욕타임스,0.0000,0.0000
mrc-0-004336,예루살렘 성전,예루살렘 성전,1.0000,1.0000
mrc-0-004345,1991년,1965년과 1969년,0.0000,0.0000
mrc-0-004363,파비아,파비아,1.0000,1.0000
mrc-0-004371,김영권,미드(Mead),0.0000,0.0000
mrc-0-004372,,대구,0.0000,0.0000
mrc-0-004373,5월 29일,5월 29일,1.0000,1.0000
mrc-0-004389,트루먼의 아빠,실비아,0.0000,0.0000
mrc-0-004392,뇌 일부,뇌,0.0000,0.6667
mrc-0-004394,,프리드리히 니체,0.0000,0.0000
mrc-0-004402,1995년,1995년,1.0000,1.0000
mrc-0-004410,,시릴 라마포사 대통령,0.0000,0.0000
mrc-0-004413,호어벨리샤,호어벨리샤,1.0000,1.0000
mrc-0-004430,금기,권총,0.0000,0.0000
mrc-0-004432,연합국 측,연합국 측,1.0000,1.0000
mrc-0-004438,교란 요인을 통제하는 것,교란 요인을 통제하는 것은 매우 중요하기 때문,0.0000,0.5455
mrc-0-004445,2019년 8월 1일,2019년 8월 1일,1.0000,1.0000
mrc-0-004460,고문,고문,1.0000,1.0000
mrc-0-004465,와히드 박사,와히드 박사,1.0000,1.0000
mrc-0-004467,1994년,1994년,1.0000,1.0000
mrc-0-004484,전라남도 지역,전라남도,0.0000,0.6667
mrc-0-004487,피터 발스 박사,피터 발스 박사,1.0000,1.0000
mrc-0-004490,약물,약물,1.0000,1.0000
mrc-0-004510,인체의 치수(인체측정학의 측정 기준),인체의 치수,0.0000,0.3333
mrc-0-004531,판옥선,거북선,0.0000,0.0000
mrc-0-004538,밀,밀,1.0000,1.0000
mrc-0-004543,고전도성 철,고전도성 철,1.0000,1.0000
mrc-0-004545,후군,조인과 하후돈,0.0000,0.0000
